word freq
je 2347699
ik 2248076
de 1772170
het 1430348
een 1229137
dat 1127720
is 1020687
en 976168
niet 727037
dan 664899
voor 653971
van 637149
op 627640
kan 616358
heb 583895
met 513320
nog 506336
in 481193
er 453750
te 414607
maar 405744
ook 396979
dit 357156
wel 347234
als 341975
mijn 336663
wat 315747
even 312802
die 311565
nu 294695
geen 288383
of 280827
om 271550
bij 268931
we 268837
ja 242605
aan 235070
goed 226178
al 222197
zijn 210753
graag 201419
ziggo 199899
deze 196173
naar 192414
chat 190928
dus 188330
ben 183983
ga 181668
modem 172844
zou 172207
kunnen 167024
wil 165584
fijne 159989
tv 158988
abonnement 156043
verder 150200
moet 149485
mij 149278
bedankt 149156
hebben 144968
doen 142963
zo 142568
gaat 141779
weer 138928
nee 138018
dag 137910
nieuwe 137114
via 136506
helpen 135471
internet 135395
zie 132856
meer 132725
vraag 126631
kijken 124912
ok 123827
staat 122663
oke 121987
door 120869
gegevens 118715
daar 117300
hebt 117129
ons 115984
over 115324
gedaan 113786
nummer 112515
dank 112267
geboortedatum 110586
jullie 110328
wordt 108412
goedemiddag 102304
andere 101383
heeft 101180
alleen 101100
mag 99634
contact 99423
uit 98815
hier 98351
vodafone 98176
krijg 98009
wifi 96931
worden 95317
mee 93664
mediabox 93573
moment 92794
zal 91514
hoe 90683
iets 90555
hij 89675
klopt 87195
helaas 86416
inderdaad 86234
mail 85659
per 83691
probleem 82476
vragen 82208
kabel 81918
dankjewel 81758
postcode 80352
huisnummer 80254
was 78962
me 78065
zit 77863
top 77401
box 76250
wij 74824
werkt 74680
terug 72911
maand 72320
alles 70591
monteur 70141
kun 69285
komt 69198
laatste 68087
heel 67663
goedemorgen 67519
collega 67408
waar 66398
moeten 65779
helemaal 64707
ze 64062
adres 63256
toch 62767
gaan 62755
extra 62533
bellen 62270
mogelijk 62007
kunt 61802
binnen 61699
pakket 61671
had 61405
omdat 61254
zelf 60985
hoor 60873
anders 60741
weet 60425
uur 60060
maken 59982
eens 58822
na 58741
wanneer 58399
telefoon 57509
nodig 57389
want 57083
goedenavond 56153
avond 56014
tot 55202
fijn 55111
volgende 55009
opnieuw 53731
staan 53244
jij 53186
hallo 52626
EUR 52383
begrijp 52199
cijfers 52010
wens 51972
ontvangen 50487
zien 50368
kijk 50248
gewoon 50115
verbinding 49938
euro 49622
signaal 48831
hem 48782
toestel 47408
erbij 47384
sturen 47003
onze 46825
willen 45818
direct 45408
welke 44976
af 44739
pak 43910
ter 43605
factuur 42953
net 42620
zeker 42591
keer 42037
steeds 42023
doet 41975
hele 41813
komen 41659
niets 40874
informatie 40833
tijd 40535
niks 40366
daarom 40311
namelijk 40304
naam 40137
verbind 40063
gebruik 39039
gehad 38944
ah 38903
alle 38816
contract 38797
daarna 38238
kosten 37829
next 37760
gratis 37673
prima 37546
geval 37517
altijd 37397
bestelling 37124
krijgt 36839
denk 36793
super 36665
natuurlijk 36378
proberen 36235
start 35949
wilt 35928
wachtwoord 35864
oude 35734
precies 35714
krijgen 35202
zodra 35155
echt 35140
korting 34870
sorry 34797
toe 34793
veel 34764
nieuw 34727
wachten 34716
weten 34102
bent 33384
erg 33373
chatbot 33345
